NULL,NORMAL,FIGHTING,FLYING,POISON,GROUND,ROCK,BUG,GHOST,STEEL,FIRE,WATER,GRASS,ELECTRIC,PSYCHIC,ICE,DRAGON,DARK,FAIRY
COLOR,A8A77A,C22E28,A98FF3,A33EA1,E2BF65,B6A136,A6B91A,735797,B7B7CE,EE8130,6390F0,7AC74C,F7D02C,F95587,96D9D6,6F35FC,705746,D685AD
NORMAL,1×,1×,1×,1×,1×,½×,1×,0×,½×,1×,1×,1×,1×,1×,1×,1×,1×,1×
FIGHTING,2×,1×,½×,½×,1×,2×,½×,0×,2×,1×,1×,1×,1×,½×,2×,1×,2×,½×
FLYING,1×,2×,1×,1×,1×,½×,2×,1×,½×,1×,1×,2×,½×,1×,1×,1×,1×,1×
POISON,1×,1×,1×,½×,½×,½×,1×,½×,0×,1×,1×,2×,1×,1×,1×,1×,1×,2×
GROUND,1×,1×,0×,2×,1×,2×,½×,1×,2×,2×,1×,½×,2×,1×,1×,1×,1×,1×
ROCK,1×,½×,2×,1×,½×,1×,2×,1×,½×,2×,1×,1×,1×,1×,2×,1×,1×,1×
BUG,1×,½×,½×,½×,1×,1×,1×,½×,½×,½×,1×,2×,1×,2×,1×,1×,2×,½×
GHOST,0×,1×,1×,1×,1×,1×,1×,2×,1×,1×,1×,1×,1×,2×,1×,1×,½×,1×
STEEL,1×,1×,1×,1×,1×,2×,1×,1×,½×,½×,½×,1×,½×,1×,2×,1×,1×,2×
FIRE,1×,1×,1×,1×,1×,½×,2×,1×,2×,½×,½×,2×,1×,1×,2×,½×,1×,1×
WATER,1×,1×,1×,1×,2×,2×,1×,1×,1×,2×,½×,½×,1×,1×,1×,½×,1×,1×
GRASS,1×,1×,½×,½×,2×,2×,½×,1×,½×,½×,2×,½×,1×,1×,1×,½×,1×,1×
ELECTRIC,1×,1×,2×,1×,0×,1×,1×,1×,1×,1×,2×,½×,½×,1×,1×,½×,1×,1×
PSYCHIC,1×,2×,1×,2×,1×,1×,1×,1×,½×,1×,1×,1×,1×,½×,1×,1×,0×,1×
ICE,1×,1×,2×,1×,2×,1×,1×,1×,½×,½×,½×,2×,1×,1×,½×,2×,1×,1×
DRAGON,1×,1×,1×,1×,1×,1×,1×,1×,½×,1×,1×,1×,1×,1×,1×,2×,1×,0×
DARK,1×,½×,1×,1×,1×,1×,1×,2×,1×,1×,1×,1×,1×,2×,1×,1×,½×,½×
FAIRY,1×,2×,1×,½×,1×,1×,1×,1×,½×,½×,1×,1×,1×,1×,1×,2×,2×,1×
